iter	Passed	Remaining
1003	24649	49003
1004	24674	48980
1005	24697	48953
1006	24720	48925
1007	24743	48898
1008	24767	48871
1009	24792	48848
1010	24817	48824
1011	24841	48799
1012	24865	48773
1013	24890	48749
1014	24913	48722
1015	24936	48695
1016	24960	48669
1017	24985	48644
1018	25009	48619
1019	25032	48592
1020	25056	48567
1021	25080	48541
1022	25103	48513
1023	25127	48487
1024	25151	48462
1025	25177	48440
1026	25199	48412
1027	25224	48388
1028	25249	48363
1029	25271	48335
1030	25294	48306
1031	25316	48278
1032	25343	48257
1033	25366	48230
1034	25391	48206
1035	25415	48181
1036	25439	48155
1037	25463	48131
1038	25489	48107
1039	25514	48084
1040	25537	48056
1041	25560	48029
1042	25584	48004
1043	25608	47978
1044	25630	47949
1045	25653	47923
1046	25675	47893
1047	25698	47866
1048	25723	47842
1049	25746	47815
1050	25772	47792
1051	25796	47766
1052	25821	47744
1053	25846	47720
1054	25868	47691
1055	25892	47665
1056	25915	47638
1057	25940	47614
1058	25963	47588
1059	25987	47561
1060	26010	47534
1061	26035	47510
1062	26058	47484
1063	26083	47460
1064	26107	47434
1065	26131	47408
1066	26155	47384
1067	26180	47359
1068	26204	47335
1069	26229	47311
1070	26255	47289
1071	26281	47267
1072	26305	47241
1073	26328	47214
1074	26352	47188
1075	26374	47160
1076	26398	47134
1077	26422	47109
1078	26445	47082
1079	26469	47057
1080	26492	47029
1081	26515	47002
1082	26540	46978
1083	26564	46953
1084	26587	46926
1085	26609	46897
1086	26632	46870
1087	26657	46846
1088	26681	46821
1089	26706	46797
1090	26730	46772
1091	26752	46744
1092	26777	46720
1093	26801	46694
1094	26825	46669
1095	26849	46644
1096	26875	46620
1097	26900	46597
1098	26923	46571
1099	26947	46545
1100	26971	46519
1101	26994	46493
1102	27018	46468
1103	27041	46440
1104	27065	46414
1105	27088	46389
1106	27113	46364
1107	27137	46338
1108	27160	46312
1109	27183	46286
1110	27208	46261
1111	27231	46234
1112	27254	46208
1113	27277	46180
1114	27303	46158
1115	27326	46132
1116	27349	46105
1117	27372	46078
1118	27396	46052
1119	27420	46027
1120	27445	46004
1121	27469	45979
1122	27492	45951
1123	27515	45925
1124	27538	45897
1125	27563	45874
1126	27587	45849
1127	27612	45824
1128	27635	45797
1129	27657	45769
1130	27682	45746
1131	27706	45720
1132	27730	45695
1133	27754	45669
1134	27781	45649
1135	27806	45625
1136	27830	45600
1137	27853	45574
1138	27878	45550
1139	27903	45526
1140	27926	45500
1141	27951	45475
1142	27974	45449
1143	27998	45424
1144	28022	45398
1145	28046	45373
1146	28071	45349
1147	28096	45326
1148	28121	45302
1149	28143	45275
1150	28167	45249
1151	28192	45225
1152	28216	45200
1153	28240	45174
1154	28263	45148
1155	28287	45122
1156	28311	45097
1157	28334	45070
1158	28358	45045
1159	28381	45018
1160	28405	44994
1161	28428	44967
1162	28452	44941
1163	28476	44916
1164	28500	44891
1165	28525	44867
1166	28548	44841
1167	28572	44815
1168	28597	44792
1169	28621	44767
1170	28646	44743
1171	28670	44718
1172	28695	44694
1173	28719	44669
1174	28743	44644
1175	28768	44620
1176	28792	44594
1177	28817	44571
1178	28840	44544
1179	28864	44519
1180	28889	44496
1181	28912	44470
1182	28937	44446
1183	28961	44419
1184	28985	44395
1185	29009	44369
1186	29032	44343
1187	29056	44318
1188	29079	44291
1189	29103	44266
1190	29126	44239
1191	29149	44212
1192	29172	44187
1193	29197	44163
1194	29222	44139
1195	29246	44114
1196	29270	44089
1197	29295	44065
1198	29319	44040
1199	29344	44016
1200	29370	43995
1201	29395	43971
1202	29418	43945
1203	29441	43918
1204	29464	43890
1205	29487	43864
1206	29510	43837
1207	29532	43810
1208	29555	43782
1209	29579	43757
1210	29604	43733
1211	29627	43708
1212	29651	43683
1213	29675	43658
1214	29701	43635
1215	29724	43608
1216	29749	43585
1217	29772	43559
1218	29797	43535
1219	29822	43510
1220	29845	43485
1221	29870	43461
1222	29894	43435
1223	29916	43408
1224	29939	43382
1225	29961	43353
1226	29984	43327
1227	30007	43300
1228	30029	43273
1229	30053	43248
1230	30078	43223
1231	30101	43198
1232	30126	43173
1233	30151	43149
1234	30175	43125
1235	30198	43098
1236	30223	43074
1237	30246	43049
1238	30270	43023
1239	30294	42998
1240	30318	42972
1241	30341	42947
1242	30365	42922
1243	30387	42894
1244	30412	42870
1245	30436	42845
1246	30459	42819
1247	30484	42796
1248	30507	42769
1249	30531	42744
